Dataset,Max Gini Index,Mean Gini Index,Median Gini Index,Min Gini Index
ACSF1,0.8693850522836426,0.328935834871321,0.34556367088513423,0.027491146592053397
Adiac,0.5324343647487875,0.2988498313442212,0.29929643875329837,0.008221980030261726
ArrowHead,0.43883494766379516,0.3225223172725212,0.3735239872043482,0.029891198448624826
BME,0.7900169514438162,0.2896929729123571,0.22771289230295938,0.043872427917180226
Beef,0.5976817857424414,0.3425548937284867,0.34003969330981954,0.03141652453538454
BeetleFly,0.45389742069041805,0.32161928281604407,0.3376088341367692,0.03888184303032289
BirdChicken,0.49632610187200177,0.29454946159500106,0.34083814091706377,0.019439045037770046
CBF,0.5174131603050165,0.4335262063760092,0.4339752387895184,0.1404106563085971
Car,0.47894790095243384,0.2522736102128417,0.2763717075675508,0.011372448509779736
Chinatown,0.5314059854606116,0.446979996652956,0.44991992438919515,0.34428783180388856
ChlorineConcentration,0.5449753380232175,0.43686608147470196,0.43774102354773536,0.2948295302978005
CinCECGTorso,0.789786459024832,0.36384591305311265,0.340514303699914,0.01175104556212185
Coffee,0.5536335766959815,0.3573737324402488,0.39334437950063367,0.027140539139123104
Computers,0.8100430053794097,0.42619653799420787,0.40218116363382483,0.1010231202322249
CricketX,0.6156326325780586,0.46633200273792114,0.47950221938256066,0.08480300128145978
CricketY,0.6220240760758067,0.45992020520448623,0.474703026590922,0.09753708851136361
CricketZ,0.6230464552921375,0.4732837963148155,0.4844489673440947,0.1598296840121269
Crop,0.47054068312211084,0.22405238106440659,0.20012741577272453,0.025265750713265357
DiatomSizeReduction,0.5249799591700622,0.2548510756656122,0.27243855451915,0.008228655416618609
DistalPhalanxOutlineAgeGroup,0.5342062131018828,0.36363078251377406,0.36790028092260707,0.08607725406628348
DistalPhalanxOutlineCorrect,0.5491514748173878,0.36546452339732716,0.3701591534651931,0.10267374636106831
DistalPhalanxTW,0.5163597249357713,0.36339565009102337,0.36854671201603484,0.051923741443531936
ECG200,0.60510641330435,0.4415834569404489,0.4587885983546803,0.1483152202628075
ECG5000,0.7097390430298803,0.47217423785799406,0.47988942764955317,0.10101935021174795
ECGFiveDays,0.813681157812897,0.5462336057710736,0.5516020079598918,0.08789618123595064
EOGHorizontalSignal,0.7520907591441239,0.7110820932985719,0.7270341816290177,0.4330077314840379
EOGVerticalSignal,0.7244680387225136,0.6758271540821025,0.6907462863629492,0.406419386201095
Earthquakes,0.6268279564868324,0.47585930488143985,0.47366317076398823,0.3266255848359958
ElectricDevices,0.7063750300189641,0.4850969181075037,0.4742728930347044,0.22101077376840025
EthanolLevel,0.5993329561110782,0.15688570959825945,0.10658861989775867,0.003081363970346928
FaceAll,0.49298503888383544,0.45497369186956005,0.4620751768913447,0.29538418061937827
FaceFour,0.5710335708359945,0.46226948726112344,0.4823007735378737,0.1572160423643341
FacesUCR,0.5111013605009017,0.467144536817628,0.4791346713669976,0.1678309046723031
FiftyWords,0.5860920677176261,0.3676735217625157,0.3872788149186469,0.013106165263584928
Fish,0.48706863319162175,0.2667114952012652,0.28484539093969174,0.008889223496718566
FordA,0.42102454051651744,0.4032762407036779,0.41092067760706213,0.10711008757012554
FordB,0.4243739872102311,0.4113095454225547,0.4179851302680502,0.1521826084351037
FreezerRegularTrain,0.8955660155407984,0.3125698925569864,0.2509229703561574,0.020698949728202846
FreezerSmallTrain,0.8974316535953838,0.31860359311189573,0.25883122491094285,0.028044143778900993
Fungi,0.8272510004609619,0.7409972705991844,0.7599685476779527,0.30064010431092414
GunPoint,0.7331662173683458,0.3173171732109929,0.2787127362888343,0.015585026914613422
GunPointAgeSpan,0.7233676278754447,0.687074603810588,0.6981798120346393,0.5626873926777621
GunPointMaleVersusFemale,0.7184407633618501,0.682597658919326,0.6938828760398315,0.5032047311769261
GunPointOldVersusYoung,0.7132806059281322,0.6756461898395522,0.687106139852401,0.5498670125610067
Ham,0.6396109694257859,0.4645714828047184,0.4892625698455565,0.06000478249647797
InlineSkate,0.5773636408465129,0.18617360861874882,0.1307722911678293,0.013090882028507644
InsectEPGRegularTrain,0.5862735933521327,0.05231069698598114,0.02243563217810722,0.001634853845728325
InsectEPGSmallTrain,0.6367880292531715,0.0457055968542139,0.020518967885760714,0.0024306319281486954
InsectWingbeatSound,0.7358856316072677,0.4531823061715349,0.46648538199257905,0.04264910434804631
ItalyPowerDemand,0.5198191635779341,0.40862282578041526,0.4093011664767905,0.20980428877860008
LargeKitchenAppliances,0.9591243443639164,0.45984694247038554,0.43054787252285387,0.05822928019615267
Lightning2,0.7642768235559093,0.4661273181543943,0.4459156127044408,0.12026021112265298
Lightning7,0.7407406265259657,0.4711511047304259,0.45861522662968845,0.14407943338041398
Mallat,0.7016106069724106,0.3324533172102664,0.35623980954823287,0.008648387536908378
Meat,0.7002505807793047,0.298959984292007,0.26035904439178803,0.012301684393131309
MedicalImages,0.6973094811685041,0.4480177721963281,0.44563345191216497,0.07338708542801252
MiddlePhalanxOutlineAgeGroup,0.4718506740766625,0.3675578707749814,0.3764696104640848,0.04318383684823407
MiddlePhalanxOutlineCorrect,0.5100890451869246,0.3680893799732566,0.3761000780119347,0.0643605662591882
