Dataset,Max_Sparsity_PPVs,Mean_Sparsity_PPVs,Median_Sparsity_PPVs,Min_Sparsity_PPVs
ACSF1,99.99999999999999,6.141006387895626,2.1739130434782608,1.0989010989010988
Adiac,99.99999999999999,8.5519837867293,2.1983512365725706,1.0989010989010988
ArrowHead,99.99999999999999,7.347870367720913,2.1996319340986767,1.0989010989010988
BME,99.99999999999999,7.729943191042261,2.019564531397917,1.0989010989010988
Beef,99.99999999999999,6.786331837268641,2.201405152224824,1.0989010989010988
BeetleFly,99.99999999999999,5.764439294821755,2.1739130434782608,1.0989010989010988
BirdChicken,99.99999999999999,8.504609022769719,2.1739130434782608,1.0989010989010988
CBF,99.99999999999999,3.456008025949784,2.207657813038979,1.0989010989010988
Car,99.99999999999999,11.97308706680689,2.1924991450393283,1.0989010989010988
Chinatown,99.99999999999999,6.311982169038276,2.1739130434782608,1.0989010989010988
ChlorineConcentration,99.99999999999999,2.8253732527002136,2.1485891793942535,1.0989010989010988
CinCECGTorso,99.99999999999999,7.54143951681044,2.036556120230122,1.0989010989010988
Coffee,99.99999999999999,6.347273126357876,2.219462983082415,1.0989010989010988
Computers,99.99999999999999,6.261382610195413,2.243972308426832,1.0989010989010988
CricketX,99.99999999999999,3.636788534188659,2.1739130434782608,1.0989010989010988
CricketY,99.99999999999999,3.7071600336378006,2.0408163265306123,1.0989010989010988
CricketZ,99.99999999999999,3.6832479043747024,2.1739130434782608,1.0989010989010988
Crop,99.99999999999999,21.16716759056162,2.0618556701030926,1.0989010989010988
DiatomSizeReduction,99.99999999999999,11.61668898115863,2.1677662582469366,1.0989010989010988
DistalPhalanxOutlineAgeGroup,99.99999999999999,5.812743634773058,2.1739130434782608,1.0989010989010988
DistalPhalanxOutlineCorrect,99.99999999999999,6.0315629241006095,2.2284122562674096,1.0989010989010988
DistalPhalanxTW,99.99999999999999,5.559038635068865,2.1739130434782608,1.0989010989010988
DodgerLoopDay,99.99999999999999,3.1927465721821133,2.2045028142589116,1.0989010989010988
DodgerLoopGame,99.99999999999999,4.0698153175663565,2.2038567493112944,1.0989010989010988
DodgerLoopWeekend,99.99999999999999,3.809547646793934,2.2038567493112944,1.0989010989010988
ECG200,99.99999999999999,5.31526837026324,2.1739130434782608,1.0989010989010988
ECG5000,99.99999999999999,5.298800239217634,2.2364217252396164,1.0989010989010988
