Dataset,Max_PPV,Mean_PPV,Median_PPV,Min_PPV
ACSF1,1.0,0.49935897915644656,0.5,0.0
Adiac,1.0,0.5015106646698338,0.5,0.0
ArrowHead,1.0,0.500016126793928,0.49800796812749004,0.0
BME,1.0,0.4934430894602165,0.4864864864864865,0.0
Beef,1.0,0.49886893726902415,0.4978723404255319,0.0
BeetleFly,1.0,0.5026031139284525,0.5,0.0
BirdChicken,1.0,0.5017725539280958,0.5,0.0
CBF,1.0,0.49589908664352317,0.5,0.0
Car,1.0,0.4968799585347177,0.49913344887348354,0.0
Chinatown,1.0,0.4990908928571428,0.5,0.0
ChlorineConcentration,1.0,0.4988687119809757,0.5,0.0
CinCECGTorso,1.0,0.5102204153901055,0.5192190359975595,0.0
Coffee,1.0,0.498922636568105,0.493006993006993,0.0
Computers,1.0,0.4954225171503316,0.4876986128625473,0.0
CricketX,1.0,0.4898263967398036,0.4855072463768116,0.0
CricketY,1.0,0.49607924150610194,0.49230769230769234,0.0
CricketZ,1.0,0.4945562950620292,0.49193548387096775,0.0
Crop,1.0,0.5025400029828386,0.5,0.0
DiatomSizeReduction,1.0,0.4993442913450044,0.5014492753623189,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.4954009889665908,0.5,0.0
DistalPhalanxOutlineCorrect,1.0,0.5002663921173333,0.5,0.0
DistalPhalanxTW,1.0,0.49827823946895183,0.5,0.0
DodgerLoopDay,1.0,0.4808971927430312,0.4925925925925926,0.0
DodgerLoopGame,1.0,0.47680258693521416,0.49193548387096775,0.0
DodgerLoopWeekend,1.0,0.4900521024160083,0.49642857142857144,0.0
ECG200,1.0,0.49773966719517204,0.5,0.0
ECG5000,1.0,0.4981521185081005,0.5,0.0
ECGFiveDays,1.0,0.49938075205602517,0.5,0.0
EOGHorizontalSignal,1.0,0.4998433193561713,0.4992,0.0
EOGVerticalSignal,1.0,0.4998084507093164,0.4992,0.0
Earthquakes,1.0,0.4976234153696046,0.48828125,0.0
ElectricDevices,1.0,0.4969689762535489,0.5,0.0
EthanolLevel,1.0,0.4955425944770253,0.49743589743589745,0.0
FaceAll,1.0,0.4997862846289534,0.5038167938931297,0.0
FaceFour,1.0,0.504434499052533,0.506896551724138,0.0
FacesUCR,1.0,0.49891395988946047,0.4961832061068702,0.0
FiftyWords,1.0,0.499752519759146,0.5,0.0
Fish,1.0,0.49718945408587556,0.49676025917926564,0.0
FordA,1.0,0.5009957008142369,0.5,0.0
FordB,1.0,0.5009921552759353,0.502,0.0
FreezerRegularTrain,1.0,0.4985281824915507,0.4983388704318937,0.0
FreezerSmallTrain,1.0,0.4976057370077802,0.49140893470790376,0.0
Fungi,1.0,0.4986500210543787,0.5024875621890548,0.0
GunPoint,1.0,0.5030854991946332,0.5,0.0
GunPointAgeSpan,1.0,0.49771508212995835,0.5,0.0
GunPointMaleVersusFemale,1.0,0.4983259114873029,0.5,0.0
GunPointOldVersusYoung,1.0,0.49908476477885877,0.5,0.0
Ham,1.0,0.5039040131640434,0.5046728971962616,0.0
