Dataset,Max_PPV,Mean_PPV,Median_PPV,Min_PPV
ACSF1,1.0,0.5000733797151031,0.5,0.0
Adiac,1.0,0.4997414486693899,0.5,0.0
ArrowHead,1.0,0.4973694494975369,0.49800796812749004,0.0
BME,1.0,0.49945391626453745,0.5,0.0
Beef,1.0,0.4998198669023891,0.5,0.0
BeetleFly,1.0,0.5000970755429626,0.5,0.0
BirdChicken,1.0,0.4995688789058282,0.5,0.0
CBF,1.0,0.500792986820574,0.5,0.0
Car,1.0,0.5003375692591319,0.5008665511265165,0.0
Chinatown,1.0,0.49462611111111116,0.5,0.0
ChlorineConcentration,1.0,0.5006277225257955,0.5,0.0
CinCECGTorso,1.0,0.5002090437062966,0.5003050640634533,0.0
Coffee,1.0,0.49729927820986924,0.4965034965034965,0.0
Computers,1.0,0.5014837360139321,0.5,0.0
CricketX,1.0,0.49949711551010617,0.5,0.0
CricketY,1.0,0.4999846188522844,0.5,0.0
CricketZ,1.0,0.49939289493458255,0.5,0.0
Crop,1.0,0.500056081917684,0.5,0.0
DiatomSizeReduction,1.0,0.49906142397362074,0.4985507246376812,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.49829106521896577,0.5,0.0
DistalPhalanxOutlineCorrect,1.0,0.4991429148847662,0.5,0.0
DistalPhalanxTW,1.0,0.5005675792595361,0.5,0.0
DodgerLoopDay,1.0,0.48438032066010217,0.4930555555555556,0.0
DodgerLoopGame,1.0,0.476531547334182,0.4930555555555556,0.0
DodgerLoopWeekend,1.0,0.4848514604418112,0.4963768115942029,0.0
ECG200,1.0,0.4995894771944639,0.5,0.0
ECG5000,1.0,0.5006894580870406,0.5,0.0
ECGFiveDays,1.0,0.4997660298894196,0.5,0.0
EOGHorizontalSignal,1.0,0.4999605617047973,0.5,0.0
EOGVerticalSignal,1.0,0.5006500681023013,0.5,0.0
Earthquakes,1.0,0.4996823099708063,0.498046875,0.0
ElectricDevices,1.0,0.4981789954593429,0.5,0.0
EthanolLevel,1.0,0.5000388934819602,0.5031410622501428,0.0
FaceAll,1.0,0.5006827213725715,0.5038167938931297,0.0
FaceFour,1.0,0.49987026339653245,0.5,0.0
FacesUCR,1.0,0.5003765725289462,0.5038167938931297,0.0
FiftyWords,1.0,0.5004044843353517,0.5,0.0
Fish,1.0,0.5008080317429566,0.49892008639308855,0.0
FordA,1.0,0.5000199051771965,0.5,0.0
FordB,1.0,0.5000087874635982,0.5,0.0
FreezerRegularTrain,1.0,0.49925255733789675,0.49829351535836175,0.0
FreezerSmallTrain,1.0,0.5026644795404164,0.5016611295681063,0.0
Fungi,1.0,0.4983741843536549,0.4975124378109453,0.0
GunPoint,1.0,0.5007161621395144,0.5,0.0
GunPointAgeSpan,1.0,0.5003334300825374,0.5,0.0
GunPointMaleVersusFemale,1.0,0.49954724688086294,0.5,0.0
GunPointOldVersusYoung,1.0,0.5007536042049352,0.5,0.0
Ham,1.0,0.49897840210517086,0.4988399071925754,0.0
HandOutlines,1.0,0.4985582567972745,0.4998154300479882,0.0
Haptics,1.0,0.4994324020867055,0.4990842490842491,0.0
Herring,1.0,0.4994414181054015,0.5,0.0
HouseTwenty,1.0,0.49992851628776397,0.5,0.0
InlineSkate,1.0,0.4993862813525009,0.49946865037194477,0.0
InsectEPGRegularTrain,1.0,0.5014453502317165,0.5008460236886633,0.0
InsectEPGSmallTrain,1.0,0.5001540415960217,0.5008319467554077,0.0
InsectWingbeatSound,1.0,0.49889364330280306,0.5,0.0
ItalyPowerDemand,1.0,0.4997290274816395,0.5,0.0
LargeKitchenAppliances,1.0,0.5014830699250437,0.5,0.0
Lightning2,1.0,0.5011023758926652,0.49921507064364207,0.0
Lightning7,1.0,0.5000424948906284,0.49843260188087773,0.0
Mallat,1.0,0.49984152012736327,0.5,0.0
Meat,1.0,0.5038238743886034,0.5025125628140703,0.0
MedicalImages,1.0,0.5044154961441224,0.5050505050505051,0.0
MelbournePedestrian,1.0,0.49431576865079346,0.5,0.0
MiddlePhalanxOutlineAgeGroup,1.0,0.5008526315574067,0.5,0.0
MiddlePhalanxOutlineCorrect,1.0,0.5024978327164088,0.5,0.0
MiddlePhalanxTW,1.0,0.5025535613801289,0.5,0.0
MixedShapesRegularTrain,1.0,0.4993966864561489,0.5,0.0
MixedShapesSmallTrain,1.0,0.5000021669369171,0.5,0.0
MoteStrain,1.0,0.4993979921527098,0.5,0.0
NonInvasiveFetalECGThorax1,1.0,0.4988843708846612,0.5,0.0
NonInvasiveFetalECGThorax2,1.0,0.5029277738393543,0.5026666666666667,0.0
OSULeaf,1.0,0.49924525250745583,0.49882903981264637,0.0
OliveOil,1.0,0.4999364015176316,0.5,0.0
PhalangesOutlinesCorrect,1.0,0.5026997989770943,0.5,0.0
Phoneme,1.0,0.5000577638193806,0.5,0.0
PigAirwayPressure,1.0,0.5004378478044845,0.5,0.0
PigArtPressure,1.0,0.5021570594395199,0.5015,0.0
PigCVP,1.0,0.4999128874854531,0.5,0.0
Plane,1.0,0.4999237438415829,0.5,0.0
PowerCons,1.0,0.49765285907588297,0.5,0.0
ProximalPhalanxOutlineAgeGroup,1.0,0.49692330412330676,0.5,0.0
ProximalPhalanxOutlineCorrect,1.0,0.4971267925689677,0.5,0.0
ProximalPhalanxTW,1.0,0.4992896320197049,0.5,0.0
RefrigerationDevices,1.0,0.5004776068739563,0.5,0.0
Rock,1.0,0.5001286455276223,0.5,0.0
ScreenType,1.0,0.49969043177800204,0.5,0.0
SemgHandGenderCh2,1.0,0.4998779370134175,0.5,0.0
SemgHandMovementCh2,1.0,0.4995314167902481,0.49933333333333335,0.0
SemgHandSubjectCh2,1.0,0.5004280096120854,0.5,0.0
ShapeletSim,1.0,0.4999398835724807,0.5,0.0
ShapesAll,1.0,0.5003894930285953,0.5,0.0
SmallKitchenAppliances,1.0,0.4952978834081599,0.4945945945945946,0.0
SmoothSubspace,1.0,0.50110651005291,0.5333333333333333,0.0
SonyAIBORobotSurface1,1.0,0.5000486685420624,0.5,0.0
SonyAIBORobotSurface2,1.0,0.49937186950668144,0.49230769230769234,0.0
StarLightCurves,1.0,0.4974320974381714,0.498046875,0.0
Strawberry,1.0,0.5016825913952295,0.4978723404255319,0.0
SwedishLeaf,1.0,0.49972683285611114,0.5,0.0
Symbols,1.0,0.4992172143387419,0.5,0.0
SyntheticControl,1.0,0.49992169308339807,0.5,0.0
ToeSegmentation1,1.0,0.49973976588749347,0.4981949458483754,0.0
ToeSegmentation2,1.0,0.49996885919653855,0.49854227405247814,0.0
Trace,1.0,0.5020860454422413,0.50187265917603,0.0
TwoLeadECG,1.0,0.49721274952407885,0.5,0.0
TwoPatterns,1.0,0.5000392684747013,0.5,0.0
UMD,1.0,0.5001559305754589,0.5,0.0
UWaveGestureLibraryAll,1.0,0.49997159861511503,0.49947089947089945,0.0
UWaveGestureLibraryX,1.0,0.49959773301569177,0.4984126984126984,0.0
UWaveGestureLibraryY,1.0,0.5001799665029192,0.4984126984126984,0.0
UWaveGestureLibraryZ,1.0,0.5009644199436343,0.5015873015873016,0.0
Wafer,1.0,0.500242119596393,0.5,0.0
Wine,1.0,0.4997206949040077,0.5,0.0
WordSynonyms,1.0,0.49918784920017023,0.5,0.0
Worms,1.0,0.5000248951986926,0.5,0.0
WormsTwoClass,1.0,0.5000503089393414,0.5,0.0
Yoga,1.0,0.5003847359559881,0.5,0.0
