Dataset,Max_PPV,Mean_PPV,Median_PPV,Min_PPV
ACSF1,1.0,0.499227450819012,0.5,0.0
Adiac,1.0,0.4998541921679875,0.5,0.0
ArrowHead,1.0,0.5007508775669162,0.50199203187251,0.0
BME,1.0,0.5001321412613242,0.5,0.0
Beef,1.0,0.500270978799346,0.5,0.0
BeetleFly,1.0,0.4999479752962016,0.5,0.0
BirdChicken,1.0,0.5003447978794949,0.5,0.0
CBF,1.0,0.4993951128088052,0.5,0.0
Car,1.0,0.5005055722242836,0.49913344887348354,0.0
Chinatown,1.0,0.5037881448412699,0.5,0.0
ChlorineConcentration,1.0,0.5015072955314951,0.5,0.0
CinCECGTorso,1.0,0.5002259300634614,0.5003050640634533,0.0
Coffee,1.0,0.49883921587204283,0.5,0.0
Computers,1.0,0.5017362744880609,0.5013888888888889,0.0
CricketX,1.0,0.5002338807063889,0.5,0.0
CricketY,1.0,0.5000134019139996,0.5,0.0
CricketZ,1.0,0.5004321852377595,0.5,0.0
Crop,1.0,0.500664569982242,0.5,0.0
DiatomSizeReduction,1.0,0.5002940215296983,0.5014492753623189,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.4990820699110775,0.5,0.0
DistalPhalanxOutlineCorrect,1.0,0.49976047303022664,0.5,0.0
DistalPhalanxTW,1.0,0.499521379511346,0.5,0.0
DodgerLoopDay,1.0,0.483952058489241,0.4930555555555556,0.0
DodgerLoopGame,1.0,0.4753095157988964,0.4928571428571429,0.0
DodgerLoopWeekend,1.0,0.48964027292348167,0.4965277777777778,0.0
ECG200,1.0,0.5007933970103766,0.5,0.0
ECG5000,1.0,0.49849638468016516,0.5,0.0
ECGFiveDays,1.0,0.4992201735484979,0.5,0.0
EOGHorizontalSignal,1.0,0.4997216139444068,0.5,0.0
EOGVerticalSignal,1.0,0.5000368978058011,0.5,0.0
Earthquakes,1.0,0.5005566545365682,0.5,0.0
ElectricDevices,1.0,0.4994101883844278,0.5,0.0
EthanolLevel,1.0,0.49988709488843425,0.500377645443411,0.0
FaceAll,1.0,0.500361963823933,0.5038167938931297,0.0
FaceFour,1.0,0.4998065061788616,0.5,0.0
