Dataset,Max_S_k,Mean_S_k,Median_S_k,Min_S_k
ACSF1,34.69334227972142,5.539755456278901,0.44845656531907785,-0.457878787878788
Adiac,24.826941256797422,2.290259651856388,0.15358047905537975,-18.68424435867817
ArrowHead,30.337991681321324,2.682589500680485,0.16331848786560332,-20.629052979357837
BME,10.011450810399683,1.271254011047805,0.06433982683982697,-1.167596417035174
Beef,33.7452685963921,3.423502418450689,0.2095555555555555,-9.250604554805138
BeetleFly,25.10797307879833,3.550168667656814,0.07236296521035601,-3.63156038960702
BirdChicken,25.262041478099974,2.5460479109661778,0.05715325224553336,-6.427171174087876
CBF,23.734167381827227,4.337917885960954,0.6144736842105263,-4.7070762279985825
Car,23.01921798319621,2.0620075305962984,0.06287346173550035,-16.2385970870756
Chinatown,12756.599550008154,1529.4803196160979,0.808333333333333,-5359.725784294717
ChlorineConcentration,35.93934388492272,5.078488843986523,0.6193578834666992,-9.258766012754903
CinCECGTorso,65.11534599921383,8.703314245617157,0.06078673814073143,-0.465000336802196
Coffee,30.64640328839904,3.175563230641545,0.3064783660543413,-11.770095481402816
Computers,47.40924184165257,7.803966056433394,0.48486594202898603,-1.2019222681673383
CricketX,34.80014698408689,6.343661444400362,0.19883386473310216,-0.17378917378917358
CricketY,32.45306177775191,5.82141435559534,0.3366356860751948,-0.20758974358974314
CricketZ,35.88310130054531,6.473632516261348,0.19732905982905968,-0.19435897435897442
Crop,5.86968608471031,0.13824613221729715,0.006869392684608289,-1.0990132506919128
DiatomSizeReduction,25.917624169581728,2.162535338665971,0.08985507246376812,-14.634775146093808
DistalPhalanxOutlineAgeGroup,23.978443429102803,2.7035357112334917,0.5070017793483398,-9.780798254463887
DistalPhalanxOutlineCorrect,25.09941286223378,2.692738069923128,0.4319398026715491,-9.515907982416199
DistalPhalanxTW,22.02661625776318,2.698312132129819,0.4421875000000013,-14.24548999572277
DodgerLoopDay,346.77710584479587,-inf,0.1303863960113959,-inf
DodgerLoopGame,366.06002449262104,-inf,0.14675480769230775,-inf
DodgerLoopWeekend,367.40885066751446,-inf,0.17126736111111118,-inf
ECG200,27.68697168383221,3.691547538805371,0.6028333333333331,-6.59054858904061
ECG5000,35.69890600393291,4.157822603572936,0.6133606060606055,-3.519799443797406
ECGFiveDays,55.098386622602746,8.662828232091261,0.667572463768116,-2.2369509677344395
EOGHorizontalSignal,2813.4917903848423,362.26306436094666,0.3269026539827231,-271.356536140229
EOGVerticalSignal,3038.6914176562136,345.21308123805767,0.4439651559090354,-79.49118695212216
Earthquakes,36.050129820135176,8.098855122836635,0.5357400633393087,-0.5296524128045865
ElectricDevices,35.24532616207728,6.873631220343459,0.7673496518487979,-0.5126372395249941
EthanolLevel,23.15332981658428,1.3692079391422904,0.12679102435312462,-14.234020304229484
FaceAll,40.66627059648825,6.112960173633312,0.4876082251082249,-0.4071428571428555
FaceFour,42.10065226372853,6.285002731927189,0.46553030303030296,-12.371179208775656
FacesUCR,38.485980724427556,6.339202733395461,0.4299090909090909,-0.6500000000000001
FiftyWords,27.50919032391048,3.6577503473979416,0.2358518518518513,-6.393584004595699
Fish,21.40853060241696,2.2389228678694826,0.07639617402036392,-10.443199834661186
FordA,41.877493352794794,5.9067467080565725,0.022007775617884917,-0.14763104125232662
FordB,40.838754082115734,6.249465095629789,0.007081958195819582,-0.7299899765130443
FreezerRegularTrain,32.659684618048374,3.8072653419471933,0.5254935650571071,-11.889939416575594
FreezerSmallTrain,35.96627809682871,3.7927359994989254,0.5643731481031715,-13.11168308764631
Fungi,531.411926710553,61.88400966168338,0.7112438471323488,-15.976828370028468
GunPoint,22.111020092720068,2.2327018224311663,0.18381111111111115,-10.99227445222879
GunPointAgeSpan,6649.1511986072455,640.7751521741349,0.7145454545454545,-1602.729183058896
GunPointMaleVersusFemale,6588.000891863876,628.3031929818587,0.70046783625731,-1375.4727080813548
GunPointOldVersusYoung,6535.938109690737,604.9697051491911,0.6857026143790851,-1108.248655892725
Ham,42.1907959832251,6.606217481993202,0.5355560198213825,-8.085616233440543
HandOutlines,27.1920644327472,2.22749039938182,0.01711923218899647,-15.74235950426583
Haptics,50.97102496350524,6.421825261369055,0.6872065128623926,-5.6584779973826915
Herring,31.312450044157693,2.4693845246421855,0.08951782226562488,-14.484975288884455
HouseTwenty,37090.55023546785,7194.357250534776,442.64688179835036,-0.6172131147540985
InlineSkate,28.80845797719368,2.1125075893483065,0.15808706336624523,-5.288084316125285
InsectEPGRegularTrain,10.433918804344618,0.4275489681616524,-0.015263210043919118,-1.3196390709903791
InsectEPGSmallTrain,12.317609940752437,0.45745769184010404,-0.005986421190772584,-1.4572218269642103
InsectWingbeatSound,39.821971057119846,5.686716584993224,0.448578941005802,-4.045764195691774
ItalyPowerDemand,23.305458911959835,2.6135627561536383,0.4930840085673186,-10.79994423999667
LargeKitchenAppliances,74.66784135155777,13.00138546777873,0.7641225071225068,-0.7732030651340995
Lightning2,66.07185189261939,11.697152726666083,0.768393327480246,-3.396200028831075
Lightning7,49.188583175031845,9.07658765007095,0.7321131755454474,-4.054398491945627
Mallat,26.04102637577966,3.609589365226653,0.46651193386369305,-11.885484500362619
Meat,35.55428882928535,3.116523820207942,0.25539434523809534,-7.262303365243251
MedicalImages,32.8889259041157,3.6907244985871346,0.6039215193794549,-6.951323305192274
MelbournePedestrian,14692.34475152971,-inf,0.30740508096035835,-inf
MiddlePhalanxOutlineAgeGroup,24.01808944510985,2.476521396882248,0.42270833333333213,-14.196144816894567
MiddlePhalanxOutlineCorrect,22.64296082025802,2.5028483542899584,0.40751721596381885,-10.985201342876088
MiddlePhalanxTW,24.992614973869827,2.5433363440845764,0.4204467927140113,-14.400795677592747
MixedShapesRegularTrain,25.62365152872166,2.427219085210924,0.04262402709503643,-5.178658881744952
MixedShapesSmallTrain,24.761990308524044,2.4670548048310788,0.04703125586986745,-7.510898561202316
MoteStrain,28.82570969929415,4.919031605653282,0.7154761904761907,-4.850528885182316
NonInvasiveFetalECGThorax1,49.50910412023322,5.197970859329328,0.39611693556215966,-17.73186924483579
NonInvasiveFetalECGThorax2,48.53435589065545,4.978267268551812,0.41109549195661,-6.5525985765458925
OSULeaf,24.493569460380204,3.4140095465172338,0.051677643322643574,-7.424787357619555
OliveOil,42.01832146761442,5.086825128066956,0.628478260869565,-9.706633719288766
PhalangesOutlinesCorrect,20.72823170772937,2.5933194770276193,0.41674524853800676,-14.114378773972524
Phoneme,40.04979796372498,7.844097204246469,0.21901915045067755,-0.17056074766355145
PigAirwayPressure,96.01928701426888,10.103373528557562,0.29219440664466767,-2.4024204180094917
PigArtPressure,817.3860202823994,80.67713735809156,0.8393798076923077,-0.6915192307692308
PigCVP,58.521464312372466,10.057582208641328,0.503711538461538,-0.4533942307692308
Plane,27.217938096136585,3.4398915363317224,0.2110763723903769,-8.48957115739398
PowerCons,30.20074256169475,4.464635261614295,0.5409529320987653,-4.462254885855904
ProximalPhalanxOutlineAgeGroup,25.1963979365819,2.621740724889784,0.4109668612753027,-15.627318948769087
ProximalPhalanxOutlineCorrect,27.305051082605758,2.614518531964711,0.39471666666666283,-13.850012814119943
ProximalPhalanxTW,26.688730355981402,2.626243284039361,0.39578784119106813,-9.423715920728297
RefrigerationDevices,28.16308208077051,5.8011632816780185,0.6155172313947088,-0.4066181139122318
Rock,471.3784391732258,47.049194196541,0.7231085281498995,-161.0274631707148
ScreenType,38.49409867333676,6.71754757595241,0.5014975517890766,-2.039078882334257
