Dataset,Max_S_k,Mean_S_k,Median_S_k,Min_S_k
ACSF1,0.9946986301369862,-0.006434070698596665,-0.000404109589041024,-0.9935616438356164
Adiac,1.0,0.006657063960752636,0.002290533540533768,-1.0
ArrowHead,1.0,0.0011179338498475027,0.008410801239486454,-1.0
BME,1.0,-0.0003026969270216746,-0.01961805555555557,-1.0
Beef,1.0,0.013622798037348557,0.025886524822695156,-1.0
BeetleFly,1.0,0.005185321317305534,0.0034765624999999467,-1.0
BirdChicken,1.0,0.004841194016335525,0.00732421875,-1.0
CBF,0.9804597701149429,-0.0025704393854515343,-0.0025841346153845923,-0.9867816091954023
Car,1.0,0.0097501912307866,0.00916152069425491,-1.0
Chinatown,1.0,-0.0011288690476190578,-2.220446049250313e-16,-1.0
ChlorineConcentration,0.9995717344753747,-0.0034314900480566634,-0.010069267351071998,-0.9995717344753747
CinCECGTorso,0.9999387630128596,0.0032333408474411024,0.009451948211876782,-1.0
Coffee,1.0,0.011160683001100753,0.008208658811068248,-1.0
Computers,0.9557222222222219,-0.01485886374651435,-0.11433743961352666,-0.9669999999999999
CricketX,0.9681709401709448,-0.015367468688184928,-0.017297459973516227,-0.9641709401709402
CricketY,0.978091749520325,-0.0019210845363319485,0.004456654456654108,-0.9765982905982906
CricketZ,0.9722051282051336,-0.00557439405926052,-0.00878156930788554,-0.9592820512820512
Crop,1.0,-0.00486779568431209,-0.02439492753624417,-1.0
DiatomSizeReduction,1.0,-0.004732235276172018,0.0007246376811594901,-1.0
DistalPhalanxOutlineAgeGroup,1.0,-0.002918542073804295,0.011249999999999427,-1.0
DistalPhalanxOutlineCorrect,1.0,-0.0018294710962383392,-0.0035624999999949725,-1.0
DistalPhalanxTW,1.0,-0.001854210656940549,-0.011145833333333355,-1.0
DodgerLoopDay,0.9159544159544157,-0.03107227011936646,-0.024431004646831955,-1.0
DodgerLoopGame,0.9083333333333332,-0.04242054722806849,-0.028033088235294046,-1.0
DodgerLoopWeekend,0.894736842105263,-0.024952153871798315,-0.014236111111111172,-1.0
ECG200,0.9983333333333335,-0.0027652077921215693,-0.0078219696969698,-0.9966666666666667
ECG5000,0.9955384615384615,0.00576349713864402,0.008099999999999885,-0.9902985074626866
ECGFiveDays,1.0,-0.010086879182402194,-0.02249747219413556,-1.0
EOGHorizontalSignal,0.7392353591160206,0.0016486321121650508,0.001509392265193088,-0.8047513812154697
EOGVerticalSignal,0.7231160220994488,0.002184764330671161,-0.0007275468580582034,-0.803146961325967
Earthquakes,0.8939125582298137,0.001732005758694723,0.05963703416149069,-0.7974936917701864
ElectricDevices,0.8560432071103161,-0.005643725775116435,-0.12431263537232057,-0.8496651480070643
EthanolLevel,1.0,0.00019517141544765515,-0.009124420432660263,-1.0
FaceAll,0.9741142857142864,0.002216245256740339,5.304101838704556e-05,-0.9552000000000003
FaceFour,0.9797619047619046,0.0034118332257095183,0.007026152373615369,-0.9669047619047619
FacesUCR,0.9204878048780474,0.0028252179903484466,0.009662404092071641,-0.9343199999999999
FiftyWords,0.99942760942761,0.010184826316200154,0.013669329460178181,-0.9995959595959596
Fish,1.0,-0.007554731022564289,-0.0003085467448323831,-1.0
