Dataset,Max_S_k,Mean_S_k,Median_S_k,Min_S_k
ACSF1,0.45526170798898113,-0.00017502189134675205,0.0009921083700988875,-0.45548830811554275
Adiac,1.0,0.001266609417520449,0.0001800909933441508,-1.0
ArrowHead,1.0,-0.0007586035014289491,-0.0002213368747232547,-1.0
BME,0.2416666666666667,-0.0008386303536523144,-0.0005208333333333037,-0.3833333333333333
Beef,0.9848484848484849,-0.0003919599057654839,7.092198581559739e-05,-1.0
BeetleFly,0.657142857142857,-9.885783740509196e-05,-0.0001953125000000444,-0.5
BirdChicken,0.8812500000000001,-0.0014330841096857909,0.00021728883861249493,-0.9131578947368421
CBF,0.875,0.0011476980185159934,0.0,-0.9166666666666666
Car,1.0,0.00024202810887855643,-0.00029139755694740366,-1.0
Chinatown,1.0,-0.0010475000000000115,-0.0071428571428572285,-1.0
ChlorineConcentration,0.9989293361884368,0.0009221834498777235,7.739738396850271e-05,-0.9985724482512491
CinCECGTorso,0.19363636363636316,2.5937146666002865e-05,-0.0004690286689864043,-0.1519999999999999
Coffee,1.0,0.00025006484985653897,-0.001587588839168319,-1.0
Computers,0.6567719298245618,0.0034571383211032484,0.004155555555555468,-0.5853081761006289
CricketX,0.15415140415140427,0.00046013303016507426,0.0009252591380256581,-0.20102564102564036
CricketY,0.2089743589743589,-0.0005244116241398773,-0.0005104564466271722,-0.2336752136752135
CricketZ,0.17586726998491664,-0.0008616224875749548,-0.002478632478631837,-0.1627350427350429
Crop,0.6071527777777779,0.0008651927322035945,-0.0013322368421088138,-0.6395833333333241
DiatomSizeReduction,1.0,0.0006290861573021134,0.0007246376811594901,-1.0
DistalPhalanxOutlineAgeGroup,1.0,-0.0009086980737074168,-0.0028400735294114576,-1.0
DistalPhalanxOutlineCorrect,1.0,-0.0038631029328325427,0.0007013888888866004,-1.0
DistalPhalanxTW,1.0,-0.005058464280401323,-0.0033229166666666754,-1.0
DodgerLoopDay,0.8741987179487178,-0.034031185482171745,-0.0210113960113959,-1.0
DodgerLoopGame,0.9166666666666667,-0.046669570956721175,-0.02361111111111125,-1.0
DodgerLoopWeekend,0.9277777777777778,-0.020471634277406715,-0.012847222222222343,-1.0
ECG200,1.0,0.0005174609525113084,-0.0014583333333333948,-0.9975
ECG5000,0.9436666666666673,0.0029663557871013333,0.004955844155842937,-0.9305
ECGFiveDays,0.9710144927536233,0.004185477148081248,0.0040289336548183785,-0.9565217391304348
EOGHorizontalSignal,0.35285002021291034,0.0005718654712473187,0.00016355762525477324,-0.38530386740331524
EOGVerticalSignal,0.47392265193370187,0.0012351717084631824,0.0002005689200115235,-0.47366482504604024
Earthquakes,0.5914713711571573,-0.0011121089264733643,-0.0025673164821680694,-0.6661490683229814
ElectricDevices,0.5181585629994836,-0.0010468984882553514,0.0006840970199397667,-0.562756740607961
EthanolLevel,1.0,0.002031474035170359,-0.0001303110240858385,-1.0
FaceAll,0.5914285714285754,0.0011415081475504285,0.0006541155328907422,-0.40551948051947817
FaceFour,0.7916666666666667,-0.0011182310180804023,-0.0004761904761904079,-0.875
FacesUCR,0.49909090909090903,0.0007323623032240019,0.0009399429780191371,-0.5633333333333332
FiftyWords,0.882592592592593,0.00032473430342117363,-8.646933412675972e-05,-0.6346666666666665
Fish,1.0,0.006472357021684266,0.0004813329219376383,-1.0
FordA,0.03171341294085206,-1.7743016152123238e-05,-6.931707691115729e-06,-0.031727297972785284
FordB,0.00968096809681085,-6.299143569528609e-06,-2.200220021175703e-06,-0.012258368694013755
FreezerRegularTrain,1.0,0.003752813514653061,0.00022148394241439107,-1.0
FreezerSmallTrain,1.0,0.005717755464807685,0.0021648948491213016,-1.0
Fungi,0.9876543209876543,0.0004924728091365594,0.0005527915975678255,-0.9876543209876543
GunPoint,1.0,-0.003286762903155568,-0.001230769230769202,-1.0
GunPointAgeSpan,0.9925925925925927,0.004349380804732661,0.0031515151515152384,-0.9950617283950617
GunPointMaleVersusFemale,1.0,-0.0026732941439374415,0.001185185185185067,-1.0
GunPointOldVersusYoung,0.9987745098039218,-0.0034584476720892986,-0.0033726871030102523,-1.0
Ham,0.9963302752293577,-3.522345737786203e-07,-0.0025117605738734783,-0.9973787680209698
HandOutlines,1.0,-0.0015866897658008152,0.00015188447764635793,-1.0
Haptics,0.9978494623655911,0.002005822421999197,0.003342704869159885,-0.9992831541218637
Herring,1.0,0.0027574938075788764,0.0031959742144809233,-1.0
HouseTwenty,0.75,0.0006332014915118445,0.00021721204188462906,-0.4893750000000001
InlineSkate,0.9376653696498054,0.001517375000758975,0.006234656670144001,-0.9745192307692307
InsectEPGRegularTrain,0.8340175953079179,0.00044428449795102533,0.001555591943671275,-0.8469208211143695
InsectEPGSmallTrain,0.9289458357600466,-0.004454812184657739,-0.005420335123548836,-0.8823529411764706
InsectWingbeatSound,0.8462121212121212,0.0014262417727880544,0.00381978754940715,-0.8666666666666667
ItalyPowerDemand,1.0,-0.0003510720208481267,0.0024875621890549926,-1.0
LargeKitchenAppliances,0.768478632478633,0.0026428267607926316,-0.00035185185185132584,-0.8173333333333332
Lightning2,0.9714285714285713,-0.0003756216646296405,0.00023772444644987178,-0.9418439716312057
Lightning7,1.0,0.0024912883512313746,0.0031795790416476732,-0.9838509316770186
Mallat,1.0,-0.001575024874882066,-7.041446388178496e-05,-1.0
Meat,1.0,-0.001393564144313425,0.000661375661375696,-1.0
MedicalImages,0.9749198016914555,-0.004331710271775707,-0.005302367507091066,-0.9720034995625547
MelbournePedestrian,0.9597989949748744,-0.011753405586132191,-0.012923413363112979,-0.9941373534338358
MiddlePhalanxOutlineAgeGroup,1.0,0.0013762282486756959,0.00021875000000093348,-1.0
MiddlePhalanxOutlineCorrect,1.0,0.0013146930319797492,0.001663690476191193,-1.0
MiddlePhalanxTW,1.0,-0.0021366896981864377,-0.004229323308270305,-1.0
MixedShapesRegularTrain,0.8479999999999999,-0.0005065540142749353,-5.921378968543056e-06,-0.8722857142857143
MixedShapesSmallTrain,0.9099999999999999,0.00021995261115316308,0.00031342092337927063,-0.9023529411764706
MoteStrain,0.9666666666666663,0.00017494602957914863,-0.0011904761904762973,-0.975
NonInvasiveFetalECGThorax1,0.9998043818466356,-0.000913775610429791,0.005229749749750212,-1.0
NonInvasiveFetalECGThorax2,1.0,-0.0008048846069512191,0.0020096296296292504,-0.9980471380471381
OSULeaf,0.5042105263157892,-0.00012564148954680957,0.0001405152224819295,-0.7
OliveOil,1.0,0.005382609799120032,0.0025686009896535023,-1.0
PhalangesOutlinesCorrect,1.0,0.004160262187611176,0.0010208333333261432,-1.0
Phoneme,0.09929906542056077,-0.000261099777579658,-0.00015897150841215346,-0.33644859813084116
