Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index
ACSF1,0.975213990129726,0.0005827554856603356,0.3947864137473186,0.39613247156572884
Adiac,0.8288846872876511,0.07929667330658119,0.32444613958167123,0.2962645448082787
ArrowHead,0.6505373065026823,0.06717907632873765,0.3342770946917631,0.31927779082185115
BME,0.8293585941299556,0.03836540536325039,0.34574745030111376,0.31334502393926034
Beef,0.7132497219917533,0.22606569384122455,0.49718973979715575,0.5103228879564896
BeetleFly,0.6667554196336234,0.04750757233891467,0.3400616631084093,0.34911871450077175
BirdChicken,0.7120270869412246,0.1916641993013617,0.3914732239322677,0.3812604041673535
CBF,0.6885137446551208,0.04659616275405376,0.3599727619558935,0.3433474973415388
Car,0.7631033888619055,0.15050225346391888,0.3901907006536419,0.3785818255938454
Chinatown,0.5697934997622838,0.011900975263854696,0.20944060981064402,0.23780408740178394
ChlorineConcentration,0.887479814117041,0.11795039824198572,0.36629905829720366,0.3612406449037916
CinCECGTorso,0.9112726021742761,0.2723329247977859,0.7226335103336486,0.7532135970233411
Coffee,0.5774263823777669,0.19819392273080405,0.41257205030565647,0.42096057541375964
Computers,0.9982638888888888,0.0,0.7182438299472194,0.7528856429497346
CricketX,0.8835970908827088,0.06440471683262161,0.4659235724525106,0.46274617962109843
CricketY,0.8343594457549639,0.13314391380076118,0.48016075324804763,0.48244608745184303
CricketZ,0.8811521063520493,0.09555605709128179,0.46888719928468653,0.46631370260214944
Crop,0.7618830938084825,0.0023368463307479326,0.25390073957132153,0.2796349015785765
DiatomSizeReduction,0.7355327451448573,0.17682467447622485,0.3798538280850751,0.3496344167571523
DistalPhalanxOutlineAgeGroup,0.7965428735592109,0.021824176966556363,0.3077892585716102,0.30045379938698297
DistalPhalanxOutlineCorrect,0.7965428735592109,0.021824176966556363,0.3056799822416883,0.29913289908794394
DistalPhalanxTW,0.7965428735592109,0.021824176966556363,0.30761194151112137,0.3004031305784014
ECG200,0.7386553385271364,0.015369644809052785,0.3441122797644266,0.33847399133149914
ECG5000,0.7726521334123464,0.014274168565536538,0.3882989578081882,0.37155011641892616
ECGFiveDays,0.8705166758721152,0.1350371042338404,0.4177411093493939,0.36411294709814357
EOGHorizontalSignal,0.8927307466716763,0.19724954624272983,0.6800210945175447,0.7085064093559095
EOGVerticalSignal,0.8747261539430882,0.025360720364549505,0.6642486014049396,0.6981368123111693
Earthquakes,0.8949968222463366,0.13618190893939586,0.39194541583093084,0.39474578099536967
ElectricDevices,0.9871794871794872,-6.661338147750939e-16,0.39863104690447676,0.3564068863053285
EthanolLevel,0.7792073378011442,0.36919454078912517,0.5671692819167259,0.5819584083393348
FaceAll,0.7085030302344845,0.012292542393632533,0.3506925539198957,0.35128001591548397
FaceFour,0.716528753322023,0.2039232513941286,0.4285631136059856,0.4216243551224087
FacesUCR,0.7124493301324681,0.013597221259159631,0.35604590067643976,0.3546720533304138
FiftyWords,0.8331409060216608,0.06874621697458017,0.42637121095215325,0.4217622942614678
