Dataset,kernel_length,Accuracy
ACSF1,3,0.86
ACSF1,4,0.86
ACSF1,5,0.85
ACSF1,6,0.87
ACSF1,7,0.91
ACSF1,8,0.84
ACSF1,9,0.86
ACSF1,10,0.87
ACSF1,11,0.87
ACSF1,12,0.84
ACSF1,13,0.85
ACSF1,14,0.87
ACSF1,15,0.83
Adiac,3,0.7237851662404092
Adiac,4,0.7391304347826086
Adiac,5,0.7416879795396419
Adiac,6,0.7391304347826086
Adiac,7,0.7698209718670077
Adiac,8,0.7647058823529411
Adiac,9,0.7621483375959079
Adiac,10,0.7595907928388747
Adiac,11,0.7544757033248082
Adiac,12,0.7570332480818415
Adiac,13,0.7544757033248082
Adiac,14,0.7595907928388747
Adiac,15,0.7698209718670077
ArrowHead,3,0.8057142857142857
ArrowHead,4,0.8
ArrowHead,5,0.7942857142857143
ArrowHead,6,0.7714285714285715
ArrowHead,7,0.7828571428571428
ArrowHead,8,0.8114285714285714
ArrowHead,9,0.7714285714285715
ArrowHead,10,0.8457142857142858
ArrowHead,11,0.8228571428571428
ArrowHead,12,0.8228571428571428
ArrowHead,13,0.8228571428571428
ArrowHead,14,0.7942857142857143
ArrowHead,15,0.7942857142857143
BME,3,1.0
BME,4,1.0
BME,5,1.0
BME,6,1.0
BME,7,1.0
BME,8,1.0
BME,9,1.0
BME,10,1.0
BME,11,1.0
BME,12,1.0
BME,13,1.0
BME,14,1.0
BME,15,1.0
Beef,3,0.7333333333333333
Beef,4,0.7666666666666667
Beef,5,0.7333333333333333
Beef,6,0.7666666666666667
Beef,7,0.8
Beef,8,0.8
Beef,9,0.8333333333333334
Beef,10,0.8333333333333334
Beef,11,0.8666666666666667
Beef,12,0.8666666666666667
Beef,13,0.8333333333333334
Beef,14,0.8333333333333334
Beef,15,0.8666666666666667
BeetleFly,3,0.85
BeetleFly,4,0.8
BeetleFly,5,0.85
BeetleFly,6,0.9
BeetleFly,7,0.9
BeetleFly,8,0.9
BeetleFly,9,0.85
BeetleFly,10,0.9
BeetleFly,11,0.9
BeetleFly,12,0.9
BeetleFly,13,0.85
BeetleFly,14,0.9
BeetleFly,15,0.9
BirdChicken,3,0.8
BirdChicken,4,0.9
BirdChicken,5,0.8
BirdChicken,6,0.9
BirdChicken,7,0.9
BirdChicken,8,0.9
BirdChicken,9,0.8
BirdChicken,10,0.9
BirdChicken,11,0.9
BirdChicken,12,0.9
BirdChicken,13,0.9
BirdChicken,14,0.85
BirdChicken,15,0.9
CBF,3,1.0
CBF,4,1.0
CBF,5,1.0
CBF,6,1.0
CBF,7,1.0
CBF,8,1.0
CBF,9,1.0
CBF,10,1.0
CBF,11,1.0
CBF,12,1.0
CBF,13,1.0
CBF,14,1.0
CBF,15,0.9988888888888889
Car,3,0.8666666666666667
Car,4,0.8833333333333333
Car,5,0.9166666666666666
Car,6,0.9166666666666666
Car,7,0.9
Car,8,0.9
Car,9,0.9
Car,10,0.8666666666666667
Car,11,0.9166666666666666
Car,12,0.8833333333333333
Car,13,0.9
Car,14,0.9166666666666666
Car,15,0.9
Chinatown,3,0.967930029154519
Chinatown,4,0.9737609329446064
Chinatown,5,0.9766763848396501
Chinatown,6,0.9795918367346939
Chinatown,7,0.9825072886297376
Chinatown,8,0.9795918367346939
Chinatown,9,0.9825072886297376
Chinatown,10,0.9825072886297376
Chinatown,11,0.9825072886297376
Chinatown,12,0.9854227405247813
Chinatown,13,0.9825072886297376
Chinatown,14,0.9825072886297376
Chinatown,15,0.9825072886297376
ChlorineConcentration,3,0.5838541666666667
ChlorineConcentration,4,0.6559895833333333
ChlorineConcentration,5,0.6763020833333333
ChlorineConcentration,6,0.73515625
ChlorineConcentration,7,0.58828125
ChlorineConcentration,8,0.7479166666666667
ChlorineConcentration,9,0.7591145833333334
ChlorineConcentration,10,0.7361979166666667
ChlorineConcentration,11,0.7432291666666667
ChlorineConcentration,12,0.7591145833333334
ChlorineConcentration,13,0.75546875
ChlorineConcentration,14,0.6018229166666667
ChlorineConcentration,15,0.7393229166666667
CinCECGTorso,3,0.8594202898550725
CinCECGTorso,4,0.8282608695652174
CinCECGTorso,5,0.8724637681159421
CinCECGTorso,6,0.8144927536231884
CinCECGTorso,7,0.8340579710144927
CinCECGTorso,8,0.8463768115942029
CinCECGTorso,9,0.8369565217391305
