Dataset,Max Gini Index
ACSF1,0.96
Adiac,0.94
ArrowHead,0.71
BME,0.79
Beef,0.71
BeetleFly,0.72
BirdChicken,0.79
CBF,0.62
Car,0.84
Chinatown,0.6
ChlorineConcentration,0.9
CinCECGTorso,0.92
Coffee,0.61
Computers,0.99
CricketX,0.88
CricketY,0.81
CricketZ,0.88
Crop,0.77
DiatomSizeReduction,0.86
DistalPhalanxOutlineAgeGroup,0.74
DistalPhalanxOutlineCorrect,0.74
DistalPhalanxTW,0.74
ECG200,0.71
ECG5000,0.84
ECGFiveDays,0.86
EOGHorizontalSignal,0.89
EOGVerticalSignal,0.9
Earthquakes,0.89
ElectricDevices,0.98
EthanolLevel,0.83
FaceAll,0.63
FaceFour,0.72
FacesUCR,0.75
FiftyWords,0.93
Fish,0.91
FordA,0.85
FordB,0.83
FreezerRegularTrain,0.96
FreezerSmallTrain,0.93
Fungi,0.88
GunPoint,0.88
GunPointAgeSpan,0.94
GunPointMaleVersusFemale,0.94
GunPointOldVersusYoung,0.94
Ham,0.8
HandOutlines,0.88
Haptics,0.96
Herring,0.73
HouseTwenty,0.93
InlineSkate,0.79
InsectEPGRegularTrain,0.95
InsectEPGSmallTrain,0.95
InsectWingbeatSound,0.9
ItalyPowerDemand,0.53
LargeKitchenAppliances,1.0
Lightning2,0.9
Lightning7,0.94
Mallat,0.89
Meat,0.77
MedicalImages,0.89
MiddlePhalanxOutlineAgeGroup,0.73
MiddlePhalanxOutlineCorrect,0.73
MiddlePhalanxTW,0.73
MixedShapesRegularTrain,0.92
MixedShapesSmallTrain,0.88
MoteStrain,0.86
NonInvasiveFetalECGThorax1,0.86
NonInvasiveFetalECGThorax2,0.87
OSULeaf,0.75
OliveOil,0.78
PhalangesOutlinesCorrect,0.75
Phoneme,0.88
PigAirwayPressure,0.83
PigArtPressure,0.75
PigCVP,0.75
Plane,0.75
PowerCons,0.77
ProximalPhalanxOutlineAgeGroup,0.75
ProximalPhalanxOutlineCorrect,0.75
ProximalPhalanxTW,0.75
RefrigerationDevices,0.96
Rock,0.81
ScreenType,1.0
SemgHandGenderCh2,0.78
SemgHandMovementCh2,0.78
SemgHandSubjectCh2,0.78
ShapeletSim,0.54
ShapesAll,0.87
SmallKitchenAppliances,1.0
SmoothSubspace,0.61
SonyAIBORobotSurface1,0.54
SonyAIBORobotSurface2,0.67
StarLightCurves,0.94
Strawberry,0.74
SwedishLeaf,0.88
Symbols,0.9
SyntheticControl,0.64
ToeSegmentation1,0.64
ToeSegmentation2,0.68
Trace,0.89
TwoLeadECG,0.73
TwoPatterns,0.73
UMD,0.8
UWaveGestureLibraryAll,0.97
UWaveGestureLibraryX,0.99
UWaveGestureLibraryY,0.98
UWaveGestureLibraryZ,0.99
Wafer,0.96
Wine,0.79
WordSynonyms,0.86
Worms,0.99
WormsTwoClass,0.99
Yoga,0.84
