Dataset,Optimal_kernel_length
ACSF1,7.0
Adiac,11.0
ArrowHead,10.0
Beef,12.666666666666666
Car,9.0
Chinatown,12.0
ChlorineConcentration,10.5
CinCECGTorso,5.0
Computers,4.0
CricketX,12.0
CricketY,6.0
CricketZ,12.0
Crop,12.0
DiatomSizeReduction,8.0
DistalPhalanxOutlineAgeGroup,8.75
DistalPhalanxOutlineCorrect,11.0
DistalPhalanxTW,4.0
ECG200,11.0
ECG5000,12.0
EOGHorizontalSignal,13.0
EOGVerticalSignal,9.0
ElectricDevices,6.0
EthanolLevel,15.0
FaceAll,3.0
FacesUCR,7.0
FiftyWords,11.0
Fish,11.0
FordA,5.0
FordB,10.5
FreezerRegularTrain,14.0
FreezerSmallTrain,3.0
Ham,3.0
HandOutlines,13.0
Haptics,11.5
Herring,10.5
HouseTwenty,12.666666666666666
InlineSkate,3.0
InsectWingbeatSound,9.0
ItalyPowerDemand,11.0
LargeKitchenAppliances,8.0
Lightning2,3.5
Lightning7,8.5
Mallat,7.0
MedicalImages,8.0
MiddlePhalanxOutlineAgeGroup,13.0
MiddlePhalanxOutlineCorrect,4.0
MiddlePhalanxTW,13.0
MixedShapesRegularTrain,8.0
MixedShapesSmallTrain,14.0
MoteStrain,4.0
NonInvasiveFetalECGThorax1,9.333333333333334
NonInvasiveFetalECGThorax2,11.0
OSULeaf,12.5
PhalangesOutlinesCorrect,11.0
Phoneme,5.0
PigAirwayPressure,15.0
PigArtPressure,6.666666666666667
PigCVP,5.5
PowerCons,14.0
ProximalPhalanxOutlineAgeGroup,5.5
ProximalPhalanxOutlineCorrect,14.0
ProximalPhalanxTW,6.0
RefrigerationDevices,3.0
Rock,9.0
ScreenType,6.0
SemgHandGenderCh2,14.0
SemgHandMovementCh2,8.5
SemgHandSubjectCh2,11.0
ShapesAll,14.0
SmallKitchenAppliances,6.0
SmoothSubspace,4.0
SonyAIBORobotSurface1,9.0
SonyAIBORobotSurface2,3.0
StarLightCurves,13.0
Strawberry,9.0
SwedishLeaf,7.5
Symbols,15.0
ToeSegmentation1,13.0
ToeSegmentation2,6.25
UMD,9.0
UWaveGestureLibraryAll,13.0
UWaveGestureLibraryX,13.0
UWaveGestureLibraryY,12.5
UWaveGestureLibraryZ,9.0
Wafer,3.0
Wine,14.5
WordSynonyms,15.0
Worms,6.666666666666667
WormsTwoClass,10.666666666666666
Yoga,11.0
