dataset,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,accuracy_mean
ACSF1,0.73,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.71,0.71,0.715
Adiac,0.782608695652174,0.7928388746803069,0.7851662404092071,0.7877237851662404,0.7953964194373402,0.7902813299232737,0.7928388746803069,0.7851662404092071,0.7928388746803069,0.7902813299232737,0.7895140664961636
ArrowHead,0.7771428571428571,0.8,0.7942857142857143,0.8,0.8,0.7771428571428571,0.7657142857142857,0.7771428571428571,0.7714285714285715,0.76,0.7822857142857143
BME,0.9733333333333334,0.9733333333333334,0.9666666666666667,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9726666666666667
Beef,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667
BeetleFly,0.9,0.85,0.85,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.8699999999999999
BirdChicken,0.85,0.8,0.9,0.85,0.8,0.8,0.8,0.85,0.8,0.85,0.8300000000000001
CBF,0.9944444444444445,0.9933333333333333,0.9966666666666667,0.9933333333333333,0.9866666666666667,0.9933333333333333,0.9955555555555555,0.9877777777777778,0.9944444444444445,0.9944444444444445,0.993
Car,0.8833333333333333,0.9,0.9,0.9166666666666666,0.8833333333333333,0.9,0.8833333333333333,0.9,0.9,0.9,0.8966666666666667
Chinatown,0.9825072886297376,0.9825072886297376,0.9825072886297376,0.9825072886297376,0.9825072886297376,0.9825072886297376,0.9795918367346939,0.9825072886297376,0.9795918367346939,0.9795918367346939,0.9816326530612244
ChlorineConcentration,0.76953125,0.6526041666666667,0.653125,0.6505208333333333,0.6481770833333333,0.65234375,0.6575520833333334,0.6526041666666667,0.7619791666666667,0.6505208333333333,0.6748958333333333
CinCECGTorso,0.8492753623188406,0.8478260869565217,0.8543478260869565,0.8405797101449275,0.8355072463768116,0.8565217391304348,0.863768115942029,0.8420289855072464,0.8557971014492753,0.8340579710144927,0.8479710144927536
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.672,0.664,0.676,0.668,0.704,0.648,0.656,0.668,0.672,0.656,0.6683999999999999
