Dataset,Max_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Min_Gini_Index
ACSF1,0.930723214675048,0.3300007568597925,0.3460180296426521,0.0020568418303961167
Adiac,0.6832585676899117,0.2927001838735789,0.30453941293724884,0.005708846078596341
ArrowHead,0.5043833983081428,0.3214546794127864,0.3684607968354814,0.013572033332193256
BME,0.8238515386170916,0.27547197747753055,0.22664697727730115,0.016999197048575554
Beef,0.674996731782358,0.3330276732636294,0.3334183933267727,0.01635479622422542
BeetleFly,0.6081879251394008,0.317442390461741,0.3272889731121984,0.02831160275315503
BirdChicken,0.5668073680830175,0.30025932269697125,0.3407351489688307,0.01603624860404418
CBF,0.6205043363497431,0.4361255335952433,0.43526728440478135,0.1918635049324069
Car,0.606540949936649,0.27162592207572006,0.29936573578590475,0.007817218633180856
Chinatown,0.6743448879911071,0.4453294572399496,0.4455223327803096,0.22710657895778008
ChlorineConcentration,0.9073346229887203,0.43488007995532313,0.43157042777975235,0.05578478911562179
CinCECGTorso,0.9106904334694974,0.3630678707383458,0.3376967107322359,0.005931888362718518
Coffee,0.5655715117344978,0.3640511829214073,0.3986906022680648,0.026149041412090845
Computers,0.9791899127837179,0.44033798028859444,0.43531860205708356,0.017992218558603668
CricketX,0.8759764878568698,0.46872866635659793,0.4773455513918003,0.05488994650490864
CricketY,0.7912315158155376,0.45782481476938625,0.4681097483253095,0.0535957881351945
CricketZ,0.8724653966299344,0.47307155148436203,0.4820797730052119,0.05479485103079651
Crop,0.7327429990903609,0.2231384506991799,0.19645776726456604,0.009009998623036974
DiatomSizeReduction,0.5580092991522535,0.2712222911424134,0.2968733375818396,0.004358839463925235
DistalPhalanxOutlineAgeGroup,0.6345433428592042,0.3619560951961,0.36090553563815686,0.0362049068827861
DistalPhalanxOutlineCorrect,0.7229845408120469,0.3666017128365833,0.3656716009157497,0.03515051636016597
DistalPhalanxTW,0.6307914376007089,0.3615348949839199,0.3592134269039699,0.061978504974349424
ECG200,0.7282351456458233,0.43965629310741033,0.4501656427351382,0.05795995875265192
ECG5000,0.8069493887170669,0.47783783743939884,0.4933134252717984,0.02549381450634658
ECGFiveDays,0.8441769383222075,0.55113966687336,0.5584837584294238,0.05614673343679011
EOGHorizontalSignal,0.8939960701435338,0.7094930914375422,0.7375415459424457,0.25894113934927987
EOGVerticalSignal,0.8627536459658361,0.6760399126450328,0.7028905814866533,0.1546949713772794
Earthquakes,0.8591754550605499,0.4751175218112015,0.45787289536224623,0.2004693033633712
ElectricDevices,0.9696945551237576,0.4857905796494089,0.4573303965844456,0.012052522759605555
EthanolLevel,0.7207470276023764,0.15299222044270813,0.10096790611071704,0.001748461196475981
FaceAll,0.6520056894133813,0.4545786347866618,0.45236820900046215,0.070054769574451
FaceFour,0.6527258982850089,0.4624366346173611,0.4713541962378458,0.13108558240688473
FacesUCR,0.7946642935869985,0.46982479725957005,0.46357054346263066,0.06675491929872557
FiftyWords,0.7762490002204241,0.3722609499524589,0.39470926223768504,0.0002888366034394796
Fish,0.5675463349103657,0.2631714965625257,0.28181846405308647,0.004219357893839981
FordA,0.647759381901537,0.4036950547902717,0.407186402243264,0.04118300028059729
FordB,0.653643099856842,0.41117677234074906,0.4123617639760112,0.06443036291558135
FreezerRegularTrain,0.9247629460679373,0.3233669499503483,0.26288062496214015,0.016043105714096728
FreezerSmallTrain,0.9255088688040332,0.30951303877907504,0.24416618567522408,0.023104161198008066
Fungi,0.8952680702910689,0.7374452548972773,0.7590017273301066,0.11763510106650665
GunPoint,0.8821603585996926,0.30245911617050564,0.26128512624530986,0.015325359885996925
GunPointAgeSpan,0.8382862716066996,0.6864956946275484,0.6968280507172772,0.37825809821452716
GunPointMaleVersusFemale,0.8695416807307718,0.6822023470711785,0.693996280807075,0.3324863162543543
GunPointOldVersusYoung,0.8738344675108981,0.6750924329095803,0.6818680229149474,0.36976319625954934
Ham,0.7858714384948642,0.4696719690699067,0.4893757882525769,0.01820357829096042
HandOutlines,0.5647698184811817,0.1773190595698997,0.1395117336680971,0.0011945652748275304
Haptics,0.8660322373321958,0.3127820599921536,0.3198687028765499,0.012725853472474347
Herring,0.5230001455293358,0.2846382846624776,0.3212180975873115,0.008769255647521401
HouseTwenty,0.9328699562110777,0.7894372723267541,0.7963787325361784,0.49818782304311937
InlineSkate,0.6723971045808227,0.18708985170343076,0.13030157729223002,0.00808804067890101
