Dataset,Max_Sparsity_PPVs,Mean_Sparsity_PPVs,Median_Sparsity_PPVs,Min_Sparsity_PPVs
ACSF1,1460.0,43.18630010105712,2.0,1.0
Adiac,176.0,15.076735291290273,2.0259740259740258,1.0
ArrowHead,251.0,12.531596127830406,2.008,1.0
BME,128.0,9.373209074825345,1.813953488372093,1.0
Beef,470.0,19.711676790156424,1.9421487603305787,1.0
BeetleFly,512.0,18.005623789680637,1.9911894273127755,1.0
BirdChicken,512.0,37.580269533283015,1.9920318725099602,1.0
CBF,128.0,3.946226270516949,2.0,1.0
Car,577.0,58.54745160952613,2.0034722222222223,1.0
Chinatown,24.0,3.027721131893133,2.0,1.0
ChlorineConcentration,166.0,2.7669978299226816,2.024390243902439,1.0
CinCECGTorso,1639.0,25.616088193228272,2.105382599098685,1.0
Coffee,286.0,10.905223064149789,2.047619047619048,1.0
Computers,720.0,10.715393189944965,2.0055710306406684,1.0
CricketX,300.0,4.9193946888201,1.910828025477707,1.0
CricketY,300.0,5.519838591040638,2.0408163265306123,1.0
CricketZ,300.0,4.794362394368949,1.9607843137254901,1.0
Crop,46.0,12.33623336088879,2.2222222222222223,1.0
DiatomSizeReduction,345.0,31.725238971763545,2.0510204081632653,1.0
DistalPhalanxOutlineAgeGroup,80.0,4.629759061660756,1.9512195121951221,1.0
DistalPhalanxOutlineCorrect,80.0,4.797395839628704,2.0,1.0
DistalPhalanxTW,80.0,4.684458268795002,2.0,1.0
ECG200,96.0,4.667976283702044,2.0,1.0
ECG5000,140.0,6.073335406862219,1.971830985915493,1.0
ECGFiveDays,136.0,3.8132108516249357,2.029850746268657,1.0
EOGHorizontalSignal,1250.0,11.839753327970168,2.009646302250804,1.0
EOGVerticalSignal,1250.0,15.85258886010666,2.009646302250804,1.0
Earthquakes,512.0,2.4549537238372237,1.909090909090909,1.0
ElectricDevices,96.0,5.492677241181096,2.0,1.0
EthanolLevel,1751.0,202.96412138129443,2.0057273768613975,1.0
FaceAll,131.0,2.397446658239295,2.046875,1.0
FaceFour,350.0,2.8161350086931503,2.012987012987013,1.0
FacesUCR,131.0,2.6702184415578003,1.984848484848485,1.0
FiftyWords,270.0,11.737552577477784,2.0535714285714284,1.0
Fish,463.0,42.55792869631301,1.9955353583672168,1.0
