Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Max_sparsity_PPV,Min_sparsity_PPV,Mean_sparsity_PPV,Median_sparsity_PPV
ACSF1,0.9752139901297261,0.0007206769327738893,0.3624402099124822,0.3412664922099438,0.7689897260273973,0.12866438356164384,0.46481919178082187,0.46
Adiac,0.8320362923346137,0.0076012268238987435,0.26793262898303377,0.2767601928375868,0.8466197183098592,0.03535211267605634,0.42465523835319613,0.44732394366197187
ArrowHead,0.6793901583818664,0.00975180144283272,0.3035185675415051,0.306130328979052,0.7264179104477613,0.19805970149253732,0.48631405472636824,0.4667164179104478
BME,0.8293585941299559,0.012340613567225045,0.3063449036325202,0.29421854965335253,0.91,0.03596153846153846,0.46119625000000003,0.46
Beef,0.7186751604436992,0.18499051984764903,0.4795022413925979,0.481315050761508,0.673031914893617,0.26611702127659576,0.4644786170212767,0.46478723404255323
BeetleFly,0.6675377848987691,0.022380217691661763,0.30324890119288345,0.3160338838499974,0.6465853658536586,0.18121951219512197,0.45562226829268304,0.4578048780487805
BirdChicken,0.7165869385622997,0.04754361108081229,0.36023250819719155,0.3610696136871906,0.6839024390243903,0.2404878048780488,0.4493684756097561,0.455609756097561
CBF,0.6885137446551207,0.016028320411206942,0.33660115992983924,0.34074603327582553,0.8321153846153846,0.010000000000000002,0.45741163461538464,0.46
Car,0.7474156355775857,0.07910781676644907,0.3743459623684573,0.3740275355164825,0.698120950323974,0.21993520518358534,0.4423261771058316,0.44736501079913604
Chinatown,0.6297075820491135,0.0015300842849653717,0.17456519822823516,0.14869210544395395,0.91,0.010000000000000002,0.535069,0.505
ChlorineConcentration,0.8926946343792019,0.022947276970291863,0.34644108788987416,0.3455795113918161,0.8629850746268657,0.010000000000000002,0.43746433251302363,0.4398507462686567
CinCECGTorso,0.9128338852994018,0.2667116975828123,0.7343081621743933,0.7721898665455585,0.7365803503427266,0.17999238385377,0.46169176694592534,0.46034272658035036
Coffee,0.6093094648659027,0.13851500364535352,0.380564723961675,0.3901743084584589,0.7104347826086956,0.24869565217391307,0.46747181677018634,0.46
Computers,0.9982638888888888,0.0,0.6963668635071664,0.7314432507485991,0.8084375,0.010000000000000002,0.369469025,0.431875
CricketX,0.8922237910792198,0.044368371393761374,0.45043641071601104,0.4508277052658529,0.82375,0.10750000000000001,0.4525815288461538,0.45625000000000004
CricketY,0.8267724962776221,0.05486595049745502,0.4646430762065214,0.4693379690812624,0.81625,0.1525,0.4636392980769231,0.46
CricketZ,0.8867066012077087,0.034624910335307235,0.4554465732374182,0.455618887062914,0.81625,0.11875,0.4526026153846155,0.45625000000000004
Crop,0.8018300998397004,0.0016076326098649618,0.22138211017578058,0.245274740608738,0.91,0.010000000000000002,0.5673687960526322,0.5073684210526316
DiatomSizeReduction,0.7384111230854933,0.02970402232992342,0.35294870505896764,0.3414884570804999,0.7735379061371841,0.13346570397111915,0.4238050541516245,0.45187725631768955
DistalPhalanxOutlineAgeGroup,0.786566157720563,0.015365626043751468,0.2642062651719436,0.2702223843409723,0.91,0.17875000000000002,0.5002023320312501,0.5021875
DistalPhalanxOutlineCorrect,0.786566157720563,0.012724597978349017,0.2621514851744651,0.2691640724857036,0.91,0.17875000000000002,0.5003673437500001,0.5021875
DistalPhalanxTW,0.786566157720563,0.015365626043751468,0.2640780795596936,0.27015312507433253,0.91,0.17875000000000002,0.5003568085937502,0.5021875
DodgerLoopDay,,,,,0.7897413793103449,0.010000000000000002,0.413607476790451,0.4483620689655173
DodgerLoopGame,,,,,0.7703448275862069,0.010000000000000002,0.4079152155172414,0.4483620689655173
DodgerLoopWeekend,,,,,0.7703448275862069,0.010000000000000002,0.4286136637931035,0.4522413793103448
ECG200,0.7525211621219872,0.017481042708946348,0.30483887424075184,0.31551670823507716,0.7138461538461539,0.010000000000000002,0.4517163076923076,0.46
ECG5000,0.8092971774029493,0.010241335955673447,0.365581697917732,0.36012598331898465,0.91,0.010000000000000002,0.4656490267857144,0.4680357142857143
ECGFiveDays,0.8809113808751486,0.05412669199615505,0.38766606065357795,0.3537995139090339,0.91,0.17363636363636364,0.4715936363636364,0.46
EOGHorizontalSignal,0.8927307466716763,0.16528940982357532,0.6600167622395856,0.6829594726892855,0.91,0.0829,0.45847299088397775,0.46
EOGVerticalSignal,0.8747261539430882,0.025266078313594287,0.6473702626507536,0.6779556192595404,0.91,0.010000000000000002,0.45631781160220997,0.46
Earthquakes,0.9058754690221481,0.07944855987920507,0.36276918961485605,0.3656581586919071,0.7387804878048781,0.07146341463414635,0.4531350833207092,0.4578048780487805
ElectricDevices,0.9871794871794872,-4.440892098500626e-16,0.3686755615806293,0.3371775795213768,0.91,0.010000000000000002,0.4267783984556781,0.44846153846153847
EthanolLevel,0.797288851400496,0.17572868819135057,0.5578960224811687,0.5947759201142083,0.6395503211991436,0.26695931477516066,0.4399703986948098,0.4551820128479658
FaceAll,0.7087700225676796,0.010575763842560648,0.318327769254893,0.3256953262584071,0.91,0.010000000000000002,0.47450447959183667,0.4728571428571428
FaceFour,0.7165287533220231,0.06460256070289472,0.3967658642171561,0.40009562556907624,0.6560714285714286,0.13214285714285715,0.45598575892857146,0.4567857142857143
FacesUCR,0.7124493301324681,0.01234984337443168,0.3243106757679561,0.3281958465768612,0.91,0.010000000000000002,0.4686883,0.4642857142857143
FiftyWords,0.916751857897978,0.016340083952404494,0.3995974810475599,0.40047034256172176,0.91,0.13083333333333336,0.4612953333333333,0.46
Fish,0.7501614516782862,0.046813473245401305,0.34229744043875765,0.33111212180876315,0.7232075471698114,0.19194070080862535,0.4385068771659609,0.4539353099730458
FordA,0.8590868648782433,0.029333363502898502,0.35385145366188375,0.3604690921850602,0.91,0.010000000000000002,0.46000136337128555,0.46
FordB,0.8562935868912531,0.030288728324498138,0.3493576040521223,0.35863601350275887,0.91,0.010000000000000002,0.4600445216584157,0.46
FreezerRegularTrain,0.9539233633790062,0.10185209404245765,0.6022302984748444,0.6195919845892924,0.8502489626556017,0.09215767634854771,0.5051338423236514,0.46560165975103734
FreezerSmallTrain,0.921898004376604,0.1213822468328365,0.6120395725774357,0.6392315727395141,0.8465145228215768,0.2079253112033195,0.5055069502074689,0.46560165975103734
Fungi,0.8744472237742897,0.13957821073359467,0.5154731152569891,0.4946836339057684,0.7646583850931677,0.060310559006211184,0.44659782608695653,0.4572049689440994
GunPoint,0.9365849306847095,0.013420845938736603,0.32273655799266987,0.3125990645454745,0.805,0.1675,0.4640743,0.46
GunPointAgeSpan,0.9250043957948227,0.008295066904486337,0.3404954625869329,0.3244548498698526,0.91,0.010000000000000002,0.5174816111111111,0.4750000000000001
GunPointMaleVersusFemale,0.9257134376758224,0.006325707696580696,0.3384070650151239,0.3239602798985035,0.91,0.010000000000000002,0.5177601111111113,0.4750000000000001
GunPointOldVersusYoung,0.9234977653047285,0.006325707696580696,0.33298729356628504,0.3202200857339249,0.91,0.010000000000000002,0.5173194117647057,0.46749999999999997
Ham,0.8853004764062413,0.12024213254998872,0.4425484197753919,0.44132478445265977,0.6334782608695653,0.18217391304347827,0.44531957718388504,0.4534782608695653
HandOutlines,0.7964831774962351,0.06879254341266416,0.40803864110292304,0.4486366067288249,0.6253526970954357,0.2921576763485477,0.4663693236514523,0.46186721991701246
Haptics,0.8239584265670128,0.03400257007196894,0.38118642114369533,0.3825382325724433,0.6175514874141877,0.20153318077803206,0.4421509677419355,0.4517620137299771
Herring,0.6126695940507619,0.08738524317237284,0.36978035048851204,0.37759867116868906,0.6575609756097561,0.24926829268292686,0.43774427591463416,0.44902439024390245
HouseTwenty,0.9327290876668954,0.17903899248542876,0.6592183799233333,0.662784301856651,0.6608125,0.245125,0.45935851093749996,0.4616875
InlineSkate,0.8018579748219042,0.21616493199141873,0.49728431169119075,0.4916762868867815,0.7092031872509961,0.16358565737051792,0.46367400796812747,0.46
InsectEPGRegularTrain,0.8546819883170518,0.11003856616375662,0.5526800064086487,0.5714304581459151,0.91,0.030582120582120585,0.45758211387566233,0.46093555093555094
